"customer_id","full_name","segment","frekuensi_transaksi","total_nilai_transaksi"
36,"Joko Wijaya","RETAIL",56,234017150.00
1489,"Zaki Kusuma","RETAIL",56,207314900.00
559,"Yanuar Hidayat","PRIORITY",54,204639251.00
1572,"Bagas Panjaitan","RETAIL",55,200375071.00
381,"Winda Rahayu","RETAIL",57,199903058.00
1883,"Xena Manurung","VIP",58,192949457.00
392,"Siti Safitri","RETAIL",54,191143848.00
1691,"Qita Susanto","RETAIL",46,190346741.00
798,"Maman Manurung","RETAIL",54,190036161.00
1086,"Qori Prasetyo","RETAIL",53,189658631.00
